Mean_Reverting,Outperform,CapSize,Count,Sharpe_Mean,Hurst_Mean,ADF_pval_Mean,Half_life_Mean,Window_mean,Volatility_Mean
FALSE,FALSE,Large,768,0.18,0.64,0.83,-10393.2,22.85,0.02
FALSE,FALSE,Mid,411,0.07,0.62,0.71,-291.13,22.61,0.02
FALSE,FALSE,Small,407,0.13,0.62,0.63,287.45,22.59,0.03
FALSE,TRUE,Large,12,0.67,0.54,0.65,212,39.25,0.02
FALSE,TRUE,Mid,39,0.43,0.55,0.54,104.22,28.31,0.02
FALSE,TRUE,Small,163,0.24,0.65,0.53,-71.18,24.36,0.03
TRUE,FALSE,Large,15,-0.16,0.48,0.13,69.57,12.13,0.02
TRUE,FALSE,Mid,36,0.07,0.51,0.28,126.31,20.36,0.02
TRUE,FALSE,Small,64,0.03,0.5,0.21,110.51,14.03,0.03
TRUE,TRUE,Large,15,0.41,0.46,0.07,51.57,34.07,0.01
TRUE,TRUE,Mid,24,0.54,0.5,0.11,93.35,27.21,0.02
TRUE,TRUE,Small,36,0.33,0.48,0.15,98.13,39.22,0.03
